2017-01-12 03:36:00 - open: 19854.000000, high: 19855.000000, close: 19854.000000, low: 19854.000000, volume: 8
2017-01-12 03:37:00 - open: 19855.000000, high: 19855.000000, close: 19855.000000, low: 19854.000000, volume: 5
2017-01-12 03:38:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 1
2017-01-12 03:39:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 15
2017-01-12 03:40:00 - open: 19853.000000, high: 19853.000000, close: 19853.000000, low: 19852.000000, volume: 14
2017-01-12 03:41:00 - open: 19853.000000, high: 19853.000000, close: 19853.000000, low: 19853.000000, volume: 0
2017-01-12 03:42:00 - open: 19853.000000, high: 19853.000000, close: 19853.000000, low: 19853.000000, volume: 0
2017-01-12 03:43:00 - open: 19853.000000, high: 19853.000000, close: 19852.000000, low: 19852.000000, volume: 14
2017-01-12 03:44:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 0
2017-01-12 03:45:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 4
2017-01-12 03:46:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 6
2017-01-12 03:47:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 5
2017-01-12 03:48:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 2
2017-01-12 03:49:00 - open: 19852.000000, high: 19852.000000, close: 19851.000000, low: 19850.000000, volume: 27
2017-01-12 03:50:00 - open: 19852.000000, high: 19852.000000, close: 19851.000000, low: 19851.000000, volume: 4
2017-01-12 03:51:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 1
2017-01-12 03:52:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 3
2017-01-12 03:53:00 - open: 19853.000000, high: 19853.000000, close: 19853.000000, low: 19853.000000, volume: 4
2017-01-12 03:54:00 - open: 19853.000000, high: 19854.000000, close: 19853.000000, low: 19853.000000, volume: 5
2017-01-12 03:55:00 - open: 19853.000000, high: 19853.000000, close: 19853.000000, low: 19853.000000, volume: 9
2017-01-12 03:56:00 - open: 19854.000000, high: 19854.000000, close: 19853.000000, low: 19853.000000, volume: 3
2017-01-12 03:57:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 4
2017-01-12 03:58:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 0
2017-01-12 03:59:00 - open: 19855.000000, high: 19855.000000, close: 19854.000000, low: 19854.000000, volume: 3
2017-01-12 04:00:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 0
2017-01-12 04:01:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 1
2017-01-12 04:02:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 1
2017-01-12 04:03:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 4
2017-01-12 04:04:00 - open: 19853.000000, high: 19853.000000, close: 19853.000000, low: 19853.000000, volume: 3
2017-01-12 04:05:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 1
2017-01-12 04:06:00 - open: 19853.000000, high: 19853.000000, close: 19853.000000, low: 19853.000000, volume: 3
2017-01-12 04:07:00 - open: 19853.000000, high: 19854.000000, close: 19854.000000, low: 19853.000000, volume: 3
2017-01-12 04:08:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 2
